Horses,1st,2nd,3rd,starts,win,place,roi
Fantastic Fille,0,0,0,2,0.0,0.0,-100.00
Krakatoa Eruption,0,0,0,1,0.0,0.0,-100.00
Ayla's Angel,0,0,1,3,0.0,33.3,-100.00
Jokes,0,0,0,1,0.0,0.0,-100.00
Vinnie Vega,0,0,0,1,0.0,0.0,-100.00
Agenda,0,0,0,2,0.0,0.0,-100.00
Monopoly,0,0,0,1,0.0,0.0,-100.00
Spiritual Rose,0,0,0,1,0.0,0.0,-100.00
Country Guy,0,0,0,2,0.0,0.0,-100.00
Strong And Fast,0,0,0,1,0.0,0.0,-100.00
Flash Cadillac,0,0,0,3,0.0,0.0,-100.00
Savaquin,0,0,0,1,0.0,0.0,-100.00
Kingstar Amber,0,0,0,1,0.0,0.0,-100.00
Schmizo,0,0,0,4,0.0,0.0,-100.00
Beaver Lodge,0,0,0,2,0.0,0.0,-100.00
Pinch Memory,0,0,0,3,0.0,0.0,-100.00
Not a Word,0,0,0,3,0.0,0.0,-100.00
Blue Corner,0,0,0,2,0.0,0.0,-100.00
Torba,0,0,0,1,0.0,0.0,-100.00
Tango Yankee,0,0,0,6,0.0,0.0,-100.00
Harvey Specter,0,0,0,1,0.0,0.0,-100.00
Shezroyal,0,0,0,2,0.0,0.0,-100.00
Terpsichorean,0,0,0,2,0.0,0.0,-100.00
Virani,0,0,0,3,0.0,0.0,-100.00
Gold Codes,0,0,0,3,0.0,0.0,-100.00
Sneaky Lover,0,0,0,1,0.0,0.0,-100.00
Cumbia,0,0,0,1,0.0,0.0,-100.00
Beside You,0,0,0,2,0.0,0.0,-100.00
Billy's Tune,0,0,0,2,0.0,0.0,-100.00
Prattler,0,0,0,5,0.0,0.0,-100.00
Wahash,0,0,0,2,0.0,0.0,-100.00
Ostentatious Diva,0,0,0,1,0.0,0.0,-100.00
It's Pa,0,0,0,2,0.0,0.0,-100.00
Firing Line,0,0,0,2,0.0,0.0,-100.00
Beachbreak,0,0,0,1,0.0,0.0,-100.00
Party Maid,0,0,0,1,0.0,0.0,-100.00
Eleazar,0,0,0,1,0.0,0.0,-100.00
Man in Charge,0,0,0,1,0.0,0.0,-100.00
Trondheim,0,0,0,1,0.0,0.0,-100.00
Eleazar,0,0,0,1,0.0,0.0,-100.00
Windcatcher,0,0,0,8,0.0,0.0,-100.00
Boom Girl,0,0,0,2,0.0,0.0,-100.00
Applied,0,0,0,2,0.0,0.0,-100.00
Gazam,0,0,0,2,0.0,0.0,-100.00
Sheriff Kendell,0,0,0,2,0.0,0.0,-100.00
Witness Collector,0,0,0,1,0.0,0.0,-100.00
Anneka,0,0,0,2,0.0,0.0,-100.00
Messiah's Jewel,0,0,0,3,0.0,0.0,-100.00
Kennedy Terrace,0,0,0,2,0.0,0.0,-100.00
Toto,0,0,0,1,0.0,0.0,-100.00
Andrum,0,0,0,2,0.0,0.0,-100.00
Starwood,0,0,0,4,0.0,0.0,-100.00
Magnifica,0,0,0,3,0.0,0.0,-100.00
Silk Stockings,0,0,0,1,0.0,0.0,-100.00
Get The Cash,0,0,0,1,0.0,0.0,-100.00
Degas,0,0,0,1,0.0,0.0,-100.00
Lavarsi,0,0,0,4,0.0,0.0,-100.00
Eloquent Belle,0,0,0,4,0.0,0.0,-100.00
Whiskey Archer,0,0,0,2,0.0,0.0,-100.00
Eternity,0,0,0,1,0.0,0.0,-100.00
Tierrasanta,0,0,0,2,0.0,0.0,-100.00
Aerozoom,0,0,0,1,0.0,0.0,-100.00
Queenofthepixies,0,0,0,2,0.0,0.0,-100.00
Super Frankie,0,0,0,2,0.0,0.0,-100.00
Reunion,0,0,0,1,0.0,0.0,-100.00
The Red Sea,0,0,0,1,0.0,0.0,-100.00
Bungalow Bill,0,0,0,1,0.0,0.0,-100.00
Divine Dream,0,0,0,1,0.0,0.0,-100.00
It's It,0,0,0,1,0.0,0.0,-100.00
Gallow Gate,0,0,0,7,0.0,0.0,-100.00
Arjayar,0,0,0,3,0.0,0.0,-100.00
Lunasnit,0,0,0,1,0.0,0.0,-100.00
How Hard Is It,0,0,0,1,0.0,0.0,-100.00
Silver Basque,0,0,0,2,0.0,0.0,-100.00
Baldomero,0,0,0,3,0.0,0.0,-100.00
Core Breach,0,0,0,1,0.0,0.0,-100.00
More Gee,0,0,0,2,0.0,0.0,-100.00
Start Me Up,0,0,0,2,0.0,0.0,-100.00
Coronita,0,0,0,2,0.0,0.0,-100.00
Marthick,0,0,0,2,0.0,0.0,-100.00
Miss Ritziano,0,0,0,6,0.0,0.0,-100.00
Explosive Quality,0,0,0,1,0.0,0.0,-100.00
Belbaroo,0,0,0,2,0.0,0.0,-100.00
One Chance Fancy,0,0,0,3,0.0,0.0,-100.00
Image of Love,0,0,0,1,0.0,0.0,-100.00
Edenhope,0,0,0,7,0.0,0.0,-100.00
Seburst,0,0,0,4,0.0,0.0,-100.00
Mistress Rosetta,0,0,0,2,0.0,0.0,-100.00
Tumanako,0,0,0,1,0.0,0.0,-100.00
Girrah Lass,0,0,0,2,0.0,0.0,-100.00
O'solexi,0,0,0,1,0.0,0.0,-100.00
Bellatrix Queen,0,0,0,1,0.0,0.0,-100.00
Seburst,0,0,0,4,0.0,0.0,-100.00
Zouvilla,0,0,0,1,0.0,0.0,-100.00
Yu,0,0,0,2,0.0,0.0,-100.00
In Our Sights,0,0,0,3,0.0,0.0,-100.00
Slow Hands,0,0,0,1,0.0,0.0,-100.00
Gunga Galunga,0,0,0,7,0.0,0.0,-100.00
All About Mary,0,0,0,5,0.0,0.0,-100.00
By A Whisker,0,0,0,1,0.0,0.0,-100.00
Raabeeha,0,0,0,1,0.0,0.0,-100.00
Kennedy,0,0,0,2,0.0,0.0,-100.00
Procedural,0,0,0,3,0.0,0.0,-100.00
Morgause,0,0,0,2,0.0,0.0,-100.00
Vida Divina,0,0,0,4,0.0,0.0,-100.00
Midnight Music,0,0,0,3,0.0,0.0,-100.00
Cha Chang,0,0,0,4,0.0,0.0,-100.00
Look Astern,0,0,0,3,0.0,0.0,-100.00
Zarafshan,0,0,0,1,0.0,0.0,-100.00
Little Miss Monaco,0,0,0,6,0.0,0.0,-100.00
Invincible Command,0,0,0,1,0.0,0.0,-100.00
Fields Of Red,0,0,0,2,0.0,0.0,-100.00
The Texican,0,0,0,2,0.0,0.0,-100.00
Larlabrook,0,0,0,2,0.0,0.0,-100.00
Bond of Faith,0,0,0,3,0.0,0.0,-100.00
Rock Spur,0,0,0,2,0.0,0.0,-100.00
Gala Tickets,0,0,1,6,0.0,16.7,-100.00
Chilli Pop,0,0,0,2,0.0,0.0,-100.00
Unrelated,0,0,0,3,0.0,0.0,-100.00
Wild Five,0,0,0,1,0.0,0.0,-100.00
Lolliepop,0,0,0,1,0.0,0.0,-100.00
Would Be King,0,0,0,1,0.0,0.0,-100.00
Fresh Hope,0,0,0,4,0.0,0.0,-100.00
Flag of Nations,0,0,0,1,0.0,0.0,-100.00
Aheadofhistime,0,0,0,1,0.0,0.0,-100.00
Atomic Ring,0,0,0,3,0.0,0.0,-100.00
Right Bower,0,0,0,1,0.0,0.0,-100.00
Language,0,0,0,1,0.0,0.0,-100.00
Samara's Choice,0,0,0,3,0.0,0.0,-100.00
Zoff The Boss,0,0,0,2,0.0,0.0,-100.00
Congregate,0,0,0,1,0.0,0.0,-100.00
Poppy Field,0,0,0,2,0.0,0.0,-100.00
Lay Down the Law,0,0,0,2,0.0,0.0,-100.00
Terisiare,0,0,0,2,0.0,0.0,-100.00
Sweet Fu,0,0,0,1,0.0,0.0,-100.00
Warburton,0,0,0,1,0.0,0.0,-100.00
Witchblade,0,0,0,2,0.0,0.0,-100.00
Lay Down the Law,0,0,0,2,0.0,0.0,-100.00
Foxlago,0,0,0,5,0.0,0.0,-100.00
Poppy Field,0,0,0,2,0.0,0.0,-100.00
Purist,0,0,0,4,0.0,0.0,-100.00
Just Society,0,0,0,1,0.0,0.0,-100.00
Warburton,0,0,0,1,0.0,0.0,-100.00
Terisiare,0,0,0,2,0.0,0.0,-100.00
Mr Stix,0,0,0,2,0.0,0.0,-100.00
Sweet Fu,0,0,0,1,0.0,0.0,-100.00
Unloch the Rock,0,0,0,2,0.0,0.0,-100.00
Taawa Sal,0,0,0,2,0.0,0.0,-100.00
Aquabill,0,0,0,3,0.0,0.0,-100.00
Solaris,0,0,0,1,0.0,0.0,-100.00
Canister,0,0,0,3,0.0,0.0,-100.00
Mount Beauty,0,0,0,1,0.0,0.0,-100.00
Doc Cairns,0,0,0,1,0.0,0.0,-100.00
Lando Bay,0,0,0,1,0.0,0.0,-100.00
Mama Says,0,0,0,1,0.0,0.0,-100.00
Starring,0,0,0,2,0.0,0.0,-100.00
In Great Nic,0,0,0,2,0.0,0.0,-100.00
Cisco Kid,0,0,0,2,0.0,0.0,-100.00
Inner Strength,0,0,0,7,0.0,0.0,-100.00
Kat Comes to Town,0,0,0,4,0.0,0.0,-100.00
Reelwave,0,0,0,1,0.0,0.0,-100.00
Crafty Criminal,0,0,0,2,0.0,0.0,-100.00
Sirius Ascension,0,0,0,2,0.0,0.0,-100.00
Billo Road,0,0,0,3,0.0,0.0,-100.00
Rebukes,0,0,0,1,0.0,0.0,-100.00
Troienne,0,0,0,3,0.0,0.0,-100.00
Snooper,0,0,0,6,0.0,0.0,-100.00
Dreamsdocometrue,0,0,0,2,0.0,0.0,-100.00
Chloe's Day,0,0,0,1,0.0,0.0,-100.00
Shoot,0,0,0,2,0.0,0.0,-100.00
Sheezallmine,0,0,0,1,0.0,0.0,-100.00
Mannix,0,0,0,1,0.0,0.0,-100.00
Balboa,0,0,0,2,0.0,0.0,-100.00
Starlight Sun,0,0,0,1,0.0,0.0,-100.00
Ready Aye Ready,0,0,0,1,0.0,0.0,-100.00
You Excite Me,0,0,0,1,0.0,0.0,-100.00
Le Monde De Lucas,0,0,0,2,0.0,0.0,-100.00
Aquila Reale,0,0,0,3,0.0,0.0,-100.00
Accipitridae,0,0,0,3,0.0,0.0,-100.00
Again Can She,0,0,0,2,0.0,0.0,-100.00
Hartani,0,0,0,2,0.0,0.0,-100.00
Bold Sensation,0,0,0,3,0.0,0.0,-100.00
Pounamu,0,0,0,2,0.0,0.0,-100.00
Country Belle,0,0,0,3,0.0,0.0,-100.00
Dinky Dancer,0,0,0,2,0.0,0.0,-100.00
Indigo Moon,0,0,0,2,0.0,0.0,-100.00
Sylvie,0,0,0,2,0.0,0.0,-100.00
Camellia Legend,0,0,0,1,0.0,0.0,-100.00
Flinders Hiway,0,0,0,8,0.0,0.0,-100.00
Nitro Star,0,0,0,1,0.0,0.0,-100.00
Indigo Moon,0,0,0,2,0.0,0.0,-100.00
Bingi Striker,0,0,0,4,0.0,0.0,-100.00
Soubob,0,0,0,1,0.0,0.0,-100.00
Elotrolado,0,0,0,2,0.0,0.0,-100.00
Arcalette,0,0,0,1,0.0,0.0,-100.00
Primo Agosto,0,0,0,1,0.0,0.0,-100.00
Passion Princess,0,0,0,2,0.0,0.0,-100.00
Beautrooper,0,0,0,2,0.0,0.0,-100.00
Siddle's Birthday,0,0,0,3,0.0,0.0,-100.00
Oocumba,0,0,0,2,0.0,0.0,-100.00
Ines Sky,0,0,0,1,0.0,0.0,-100.00
Cape Helles,0,0,0,3,0.0,0.0,-100.00
Miltons,0,0,0,2,0.0,0.0,-100.00
She's Got Mail,0,0,0,2,0.0,0.0,-100.00
Lobster Noodles,0,0,0,2,0.0,0.0,-100.00
Lake Parangana,0,0,0,2,0.0,0.0,-100.00
Almalita,0,0,0,1,0.0,0.0,-100.00
La Veuve,0,0,0,3,0.0,0.0,-100.00
Joliet Jake,0,0,0,2,0.0,0.0,-100.00
Diplomatic Grace,0,0,0,2,0.0,0.0,-100.00
Repercharge,0,0,1,3,0.0,33.3,-100.00
Prospect Hill,0,0,0,2,0.0,0.0,-100.00
Cadencia,0,0,0,1,0.0,0.0,-100.00
Baker Street,0,0,0,1,0.0,0.0,-100.00
Jazzanco,0,0,0,3,0.0,0.0,-100.00
Eire's Heir,0,0,0,2,0.0,0.0,-100.00
Lady Of Carmel,0,0,0,1,0.0,0.0,-100.00
Oaks,0,0,0,1,0.0,0.0,-100.00
Miss Mojhito,0,0,0,1,0.0,0.0,-100.00
Star for Effort,0,0,0,3,0.0,0.0,-100.00
Mittibah,0,0,0,2,0.0,0.0,-100.00
Bay Caviar,0,0,0,2,0.0,0.0,-100.00
Democracy,0,0,0,3,0.0,0.0,-100.00
Kezaam,0,0,0,7,0.0,0.0,-100.00
Blitz 'n' Magic,0,0,0,2,0.0,0.0,-100.00
Gun Trace,0,0,0,5,0.0,0.0,-100.00
Explosive Truth,0,0,0,1,0.0,0.0,-100.00
Say Sevena,0,0,0,2,0.0,0.0,-100.00
Lord Wimborne,0,0,0,2,0.0,0.0,-100.00
Ragtime,0,0,1,3,0.0,33.3,-100.00
Evasive Light,0,0,0,2,0.0,0.0,-100.00
Poderoso,0,0,0,3,0.0,0.0,-100.00
Pageant Queen,0,0,0,1,0.0,0.0,-100.00
Siren's Reward,0,0,0,2,0.0,0.0,-100.00
Bridegroom,0,0,0,4,0.0,0.0,-100.00
Hitman,0,0,0,2,0.0,0.0,-100.00
Lady Cheetah,0,0,0,2,0.0,0.0,-100.00
Siren's Reward,0,0,0,2,0.0,0.0,-100.00
Poderoso,0,0,0,3,0.0,0.0,-100.00
Explosive Truth,0,0,0,1,0.0,0.0,-100.00
Gypsy Ball,0,0,0,4,0.0,0.0,-100.00
Evasive Light,0,0,0,2,0.0,0.0,-100.00
Hitman,0,0,0,2,0.0,0.0,-100.00
Lord Wimborne,0,0,0,2,0.0,0.0,-100.00
Ragtime,0,0,1,3,0.0,33.3,-100.00
Lady Cheetah,0,0,0,2,0.0,0.0,-100.00
Around the Moon,0,0,0,4,0.0,0.0,-100.00
Navy Cross,0,0,0,2,0.0,0.0,-100.00
Star Alliance,0,0,0,2,0.0,0.0,-100.00
Winter Olympian,0,0,0,2,0.0,0.0,-100.00
Whiskey Creed,0,0,0,1,0.0,0.0,-100.00
Carlton Star,0,0,0,4,0.0,0.0,-100.00
Thermal,0,0,0,2,0.0,0.0,-100.00
Global Royal,0,0,0,1,0.0,0.0,-100.00
Anelace,0,0,0,1,0.0,0.0,-100.00
So You Swing,0,0,0,1,0.0,0.0,-100.00
Gunaluva,0,0,0,1,0.0,0.0,-100.00
Sharokina,0,0,0,1,0.0,0.0,-100.00
Sweet Jamaica,0,0,0,2,0.0,0.0,-100.00
Garn Star,0,0,0,2,0.0,0.0,-100.00
Starauthoress,0,0,0,1,0.0,0.0,-100.00
Kinvarra Star,0,0,0,2,0.0,0.0,-100.00
Ms Minnelli,0,0,0,1,0.0,0.0,-100.00
Urban Royal,0,0,0,2,0.0,0.0,-100.00
Reidite,0,0,0,1,0.0,0.0,-100.00
Altro Mondo,0,0,0,2,0.0,0.0,-100.00
Dama Rapida,0,0,0,2,0.0,0.0,-100.00
Supreme Times,0,0,0,2,0.0,0.0,-100.00
Blitzenrush,0,0,0,1,0.0,0.0,-100.00
Prophet's Voice,0,0,0,1,0.0,0.0,-100.00
Gullen Glory,0,0,0,1,0.0,0.0,-100.00
Squillosa,0,0,0,4,0.0,0.0,-100.00
Swampland,0,0,0,2,0.0,0.0,-100.00
Let It Be,0,0,0,2,0.0,0.0,-100.00
Magic Era,0,0,0,2,0.0,0.0,-100.00
Show No Shame,0,0,0,2,0.0,0.0,-100.00
Getyourgreyon,0,0,0,1,0.0,0.0,-100.00
Triple Red,0,0,0,1,0.0,0.0,-100.00
Beerzatbernz,0,0,0,2,0.0,0.0,-100.00
Pogo Pop,0,0,0,1,0.0,0.0,-100.00
Ifso,0,0,0,2,0.0,0.0,-100.00
Empyreus,0,0,0,2,0.0,0.0,-100.00
Lime And Sugar,0,0,0,2,0.0,0.0,-100.00
Lachie's a Star,0,0,0,2,0.0,0.0,-100.00
Brides Desire,0,0,0,2,0.0,0.0,-100.00
Black for Me,0,0,0,7,0.0,0.0,-100.00
Baumgartner Miss,0,0,0,3,0.0,0.0,-100.00
Not Overly Plucked,0,0,0,1,0.0,0.0,-100.00
Detente,0,0,0,3,0.0,0.0,-100.00
Heavenleigh Dane,0,0,0,3,0.0,0.0,-100.00
Willhego West,0,0,0,3,0.0,0.0,-100.00
Dont Let Thommo Go,0,0,0,7,0.0,0.0,-100.00
Del Sur,0,0,0,4,0.0,0.0,-100.00
Oakhurst Rebel,0,0,0,2,0.0,0.0,-100.00
Double Edged,0,0,0,9,0.0,0.0,-100.00
Abohar,0,0,0,3,0.0,0.0,-100.00
Broadway Sensation,0,0,0,3,0.0,0.0,-100.00
Snippiranha,0,0,0,1,0.0,0.0,-100.00
Ginger Willie,0,0,0,4,0.0,0.0,-100.00
Once More a Lady,0,0,0,1,0.0,0.0,-100.00
Wilchino,0,0,0,1,0.0,0.0,-100.00
She's Wild,0,0,0,3,0.0,0.0,-100.00
Northern Benny,0,0,0,4,0.0,0.0,-100.00
Dark Arli,0,0,0,4,0.0,0.0,-100.00
Miss Showgirl,0,0,0,5,0.0,0.0,-100.00
Lightning Lass,0,0,0,6,0.0,0.0,-100.00
Paddlepop,0,0,0,3,0.0,0.0,-100.00
Amuthon,0,0,0,6,0.0,0.0,-100.00
Starry Universe,0,0,0,7,0.0,0.0,-100.00
Mister McRae,0,0,0,2,0.0,0.0,-100.00
Cash Me Outside,0,0,0,4,0.0,0.0,-100.00
She's All Steel,0,0,0,7,0.0,0.0,-100.00
Miss Pins,0,0,0,4,0.0,0.0,-100.00
Get Round It,0,0,0,6,0.0,0.0,-100.00
Gee Gee Redhead,0,0,0,1,0.0,0.0,-100.00
Keiserinne,0,0,0,4,0.0,0.0,-100.00
Subvert,0,0,1,3,0.0,33.3,-100.00
Miss Meika,0,0,0,4,0.0,0.0,-100.00
Thracian,0,0,0,4,0.0,0.0,-100.00
Espereus,0,0,0,3,0.0,0.0,-100.00
Stepaside Rousey,0,0,0,1,0.0,0.0,-100.00
Goodness Gracie,0,0,0,1,0.0,0.0,-100.00
Argyle Beach,0,0,0,2,0.0,0.0,-100.00
Frosty Beverage,0,0,0,4,0.0,0.0,-100.00
Strykani,0,0,0,2,0.0,0.0,-100.00
Ralph,0,0,0,5,0.0,0.0,-100.00
Misslittleturf,0,0,0,2,0.0,0.0,-100.00
Rubia Miss,0,0,0,4,0.0,0.0,-100.00
Nicquility,0,0,0,6,0.0,0.0,-100.00
Hot Vinni,0,0,0,3,0.0,0.0,-100.00
Star Song,0,0,0,4,0.0,0.0,-100.00
Starkle,0,0,0,2,0.0,0.0,-100.00
French Toast,0,0,0,3,0.0,0.0,-100.00
Miss Scandilous,0,0,0,4,0.0,0.0,-100.00
Captain Rickards,0,0,0,3,0.0,0.0,-100.00
Harrington,0,0,0,2,0.0,0.0,-100.00
Silk Road,0,0,0,4,0.0,0.0,-100.00
Miss Enthusiasm,0,0,0,1,0.0,0.0,-100.00
Nancy Bird,0,0,0,6,0.0,0.0,-100.00
Bush Magic,0,0,0,2,0.0,0.0,-100.00
Heintke,0,0,0,2,0.0,0.0,-100.00
Irish Spy,0,0,0,6,0.0,0.0,-100.00
Kaptive Lass,0,0,0,3,0.0,0.0,-100.00
Goku,0,0,0,2,0.0,0.0,-100.00
Our Ruby Ruler,0,0,0,2,0.0,0.0,-100.00
Bass Strait,0,0,0,3,0.0,0.0,-100.00
Night Talker,0,0,0,2,0.0,0.0,-100.00
Away We Go,0,0,0,2,0.0,0.0,-100.00
Crystal Springs,0,0,0,2,0.0,0.0,-100.00
Bel Rosso,0,0,0,3,0.0,0.0,-100.00
Secret Copy,0,0,0,2,0.0,0.0,-100.00
Arkaroola,0,0,0,3,0.0,0.0,-100.00
Lord Tony,0,0,0,3,0.0,0.0,-100.00
Keep On Charging,0,0,0,3,0.0,0.0,-100.00
Beyond Brave,0,0,0,2,0.0,0.0,-100.00
Floral One,0,0,0,3,0.0,0.0,-100.00
Just Scoot,0,0,0,2,0.0,0.0,-100.00
Our Boy Ben,0,0,0,2,0.0,0.0,-100.00
Blues Shadow,0,0,0,6,0.0,0.0,-100.00
Slick Talker,0,0,0,3,0.0,0.0,-100.00
Neat And Tidy,0,0,0,4,0.0,0.0,-100.00
Lighthouse Rock,0,0,0,7,0.0,0.0,-100.00
Ubersonic Empress,0,0,0,5,0.0,0.0,-100.00
Elsie's Magicdance,0,0,0,2,0.0,0.0,-100.00
Storm's Coming,0,0,1,4,0.0,25.0,-100.00
Carnecar,0,0,0,2,0.0,0.0,-100.00
Trick 'n' Treat,0,0,0,3,0.0,0.0,-100.00
Tableaux,0,0,0,2,0.0,0.0,-100.00
Stasio,0,0,0,4,0.0,0.0,-100.00
Bianzeda,0,0,0,6,0.0,0.0,-100.00
Think Better Of It,0,0,0,2,0.0,0.0,-100.00
Outspoken Duke,0,0,0,6,0.0,0.0,-100.00
Lasso,0,0,0,2,0.0,0.0,-100.00
The Dee Nine,0,0,0,4,0.0,0.0,-100.00
Big John Stud,0,0,0,4,0.0,0.0,-100.00
Messy Miss,0,0,0,2,0.0,0.0,-100.00
Dustypark,0,0,0,4,0.0,0.0,-100.00
Black Romance,0,0,0,6,0.0,0.0,-100.00
Lorenzo,0,0,0,5,0.0,0.0,-100.00
Quattro Fantastico,0,0,0,4,0.0,0.0,-100.00
Bella Boss,0,0,0,4,0.0,0.0,-100.00
Evrynow'n'then,0,0,0,3,0.0,0.0,-100.00
Caffe Romano,0,0,1,5,0.0,20.0,-100.00
Shezaonthemoney,0,0,0,2,0.0,0.0,-100.00
Dixon Street,0,0,1,1,0.0,100.0,-100.00
Last Stand,0,0,0,2,0.0,0.0,-100.00
Long Story Short,0,0,0,2,0.0,0.0,-100.00
Hasta La Dreams,0,0,1,2,0.0,50.0,-100.00
Shabo Gold,0,0,1,7,0.0,14.3,-100.00
Long Story Short,0,0,0,2,0.0,0.0,-100.00
The Firmament,0,0,0,2,0.0,0.0,-100.00
Sonsee Array,0,0,0,2,0.0,0.0,-100.00
Miss Slater,0,0,0,5,0.0,0.0,-100.00
The Moa Factor,0,0,0,5,0.0,0.0,-100.00
Loose Wire,0,0,0,2,0.0,0.0,-100.00
Poetic Dragon,0,0,0,2,0.0,0.0,-100.00
Mossameanie,0,0,0,3,0.0,0.0,-100.00
Rosafiorentina,0,0,1,1,0.0,100.0,-100.00
Rebel Saga,0,0,0,5,0.0,0.0,-100.00
Himalaya Dream,0,0,0,3,0.0,0.0,-100.00
Beauty At Dawn,0,0,0,2,0.0,0.0,-100.00
Victoria Peak,0,0,1,1,0.0,100.0,-100.00
Yankee Roller,0,0,0,6,0.0,0.0,-100.00
Zavy's Hope,0,0,0,2,0.0,0.0,-100.00
Club Hero,0,0,1,2,0.0,50.0,-100.00
Light And Fancy,0,0,0,2,0.0,0.0,-100.00
Hanya,0,0,0,2,0.0,0.0,-100.00
Dam Lovable,0,0,0,2,0.0,0.0,-100.00
On Vacation,0,0,0,3,0.0,0.0,-100.00
Popigai,0,0,0,3,0.0,0.0,-100.00
Pateena Arena,0,0,0,4,0.0,0.0,-100.00
Aroseforzou,0,0,0,3,0.0,0.0,-100.00
Ferg's Gallop,0,0,1,2,0.0,50.0,-100.00
Elite Encounter,0,0,0,3,0.0,0.0,-100.00
May I Say,0,0,0,3,0.0,0.0,-100.00
Canny Say,0,0,0,1,0.0,0.0,-100.00
Biggles Would Go,0,0,0,2,0.0,0.0,-100.00
Little Sincero,0,0,0,5,0.0,0.0,-100.00
Roseberry Street,0,0,0,1,0.0,0.0,-100.00
Jellicoe Road,0,0,0,3,0.0,0.0,-100.00
Back the Rock,0,0,0,2,0.0,0.0,-100.00
Swing Shift,0,0,0,2,0.0,0.0,-100.00
Fritz 'n' Sauce,0,0,1,2,0.0,50.0,-100.00
Amino,0,0,1,4,0.0,25.0,-100.00
Tiger Stryke,0,0,1,3,0.0,33.3,-100.00
Murphy's Corner,0,0,0,3,0.0,0.0,-100.00
Solace Royale,0,0,0,3,0.0,0.0,-100.00
War Ready,0,0,0,2,0.0,0.0,-100.00
Isa Princess,0,0,0,2,0.0,0.0,-100.00
Lilymorn,0,0,0,2,0.0,0.0,-100.00
Ambellara,0,0,0,2,0.0,0.0,-100.00
Gentle Tom,0,0,0,2,0.0,0.0,-100.00
Night Rhythm,0,0,1,3,0.0,33.3,-100.00
Hot,0,0,0,7,0.0,0.0,-100.00
Texas Jack,0,0,1,1,0.0,100.0,-100.00
Vain Elaine,0,0,0,3,0.0,0.0,-100.00
Redrouz,0,0,0,1,0.0,0.0,-100.00
Fast And Hopeful,0,0,0,2,0.0,0.0,-100.00
Big Bad Leroy,0,0,0,2,0.0,0.0,-100.00
Northern Territory,0,0,0,2,0.0,0.0,-100.00
Sha Nay Nay,0,0,0,2,0.0,0.0,-100.00
Polar Blitz,0,0,0,3,0.0,0.0,-100.00
Joanna,0,0,1,3,0.0,33.3,-100.00
Divine Melody,0,0,0,2,0.0,0.0,-100.00
Unimagineable,0,0,0,3,0.0,0.0,-100.00
He'z Titillating,0,0,0,1,0.0,0.0,-100.00
Direct Drive,0,0,0,3,0.0,0.0,-100.00
Affinity Beyond,0,0,0,2,0.0,0.0,-100.00
De Belle of Cannes,0,0,0,4,0.0,0.0,-100.00
Will She Ever,0,0,0,2,0.0,0.0,-100.00
Velox,0,0,0,2,0.0,0.0,-100.00
Red Lines,0,0,0,4,0.0,0.0,-100.00
Destiny's Sister,0,0,0,2,0.0,0.0,-100.00
Dawn Moon,0,0,0,5,0.0,0.0,-100.00
Hi World,0,0,0,2,0.0,0.0,-100.00
Plucky Panther,0,0,0,5,0.0,0.0,-100.00
Hanlon Tiger,0,0,1,4,0.0,25.0,-100.00
I'm Callin' Dibs,0,0,0,2,0.0,0.0,-100.00
Shows Pride,0,0,0,4,0.0,0.0,-100.00
Amantis,0,0,0,2,0.0,0.0,-100.00
Pack of Proof,0,0,0,2,0.0,0.0,-100.00
Enterprise Cara,0,0,0,2,0.0,0.0,-100.00
Lomon Temby,0,0,1,3,0.0,33.3,-100.00
Cadwil Kid,0,0,1,3,0.0,33.3,-100.00
Impeccably,0,0,1,2,0.0,50.0,-100.00
Wavehill Spur,0,0,0,4,0.0,0.0,-100.00
Promiscuous Miss,0,0,0,3,0.0,0.0,-100.00
Only a Rose,0,0,0,4,0.0,0.0,-100.00
Salubrious,0,0,0,3,0.0,0.0,-100.00
Bazza Brown,0,0,0,2,0.0,0.0,-100.00
Golden Trigger,0,0,0,3,0.0,0.0,-100.00
Final Salute,0,0,0,2,0.0,0.0,-100.00
Taabinga,0,0,0,2,0.0,0.0,-100.00
Cod Rock,0,0,0,2,0.0,0.0,-100.00
Super Tickets,0,0,0,1,0.0,0.0,-100.00
The Nutter,0,0,0,1,0.0,0.0,-100.00
Bar Fly Barrister,0,0,0,5,0.0,0.0,-100.00
Safariann,0,0,0,4,0.0,0.0,-100.00
Haya,0,0,0,5,0.0,0.0,-100.00
Princess Rose,0,0,0,4,0.0,0.0,-100.00
Cab Strada,0,0,0,2,0.0,0.0,-100.00
Tuskegee Commander,0,0,0,5,0.0,0.0,-100.00
Happy Artie,0,0,0,3,0.0,0.0,-100.00
Bring a Beer Along,0,0,0,4,0.0,0.0,-100.00
Fiveash,0,0,0,4,0.0,0.0,-100.00
Haymonilly,0,0,0,2,0.0,0.0,-100.00
Menglis,0,0,0,3,0.0,0.0,-100.00
Gunnarunmum,0,0,0,3,0.0,0.0,-100.00
Poppy's Dream,0,0,0,2,0.0,0.0,-100.00
Turning Times,0,0,0,2,0.0,0.0,-100.00
Tickinover,0,0,0,2,0.0,0.0,-100.00
Wood's Point,0,0,0,2,0.0,0.0,-100.00
More Like It,0,0,0,3,0.0,0.0,-100.00
High Beauty,0,0,0,2,0.0,0.0,-100.00
Say It Ain't So,0,0,0,3,0.0,0.0,-100.00
